sample_name,formula_name,etr_name,etr_col,etr_threshold,threshold_rate_col,rate_mode,loss_rate_col,gain_rate_col,n_country_rows,n_misalignment_rows,n_years,total_shifted_musd_all_years,total_tax_loss_musd_all_years,total_tax_gain_musd_all_years,total_revenue_gain_from_ut_musd_all_years,total_current_tax_paid_cash_musd_all_years,revenue_gain_from_ut_pct_of_current_tax_paid_all_years,total_revenue_gain_from_ut_low_income_musd_all_years,total_revenue_gain_from_ut_middle_income_musd_all_years,country_file,misalignment_file,aggregate_file
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2962806.2065723287,838072.9465730076,251067.04280116883,587005.9037718386,2441406.672304441,24.04375765950391,-25507.584523018868,90235.4394189668,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2962806.2065723287,633036.8982409104,251067.04280116883,381969.8554397415,2441406.672304441,15.645482572520399,-25912.004774892466,64529.27885872047,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,employees_payroll,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2962806.2065723287,838072.9465730076,486146.0394734589,351926.90709954867,2441406.672304441,14.414923621363139,-31019.639552535133,72880.12722584186,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__employees_payroll__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2577114.828375971,722434.8402824043,203543.37601695594,518891.46426544845,2441406.672304441,21.25379069991921,-15747.943123852363,6727.53823018274,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2577114.828375971,540370.8295702288,203543.37601695594,336827.4535532729,2441406.672304441,13.796450111088694,-16057.839945258696,-4040.459568613551,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,ccctb,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2577114.828375971,722434.8402824043,423670.49670254544,298764.343579859,2441406.672304441,12.237385396258283,-20163.494795527593,-9320.209311983166,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__ccctb__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2505239.52712314,701598.9320622276,192154.58849001865,509444.343572209,2441406.672304441,20.866836703257842,-14686.79694684867,53095.442273610046,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_etr_gain_etr,etr_average_corrected,etr_average_corrected,1582,1582,7,2505239.52712314,527071.8318930672,192154.58849001865,334917.2434030486,2441406.672304441,13.718207916869522,-15023.64268942308,34755.208588788686,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_etr_gain_etr.csv
disaggregated,double_weighted_sales,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_cit,cit,cit,1582,1582,7,2505239.52712314,701598.9320622276,414787.4078648799,286811.52419734775,2441406.672304441,11.747797999037443,-18736.489578649092,40457.090524044266,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__double_weighted_sales__etrdef_average__etrmax_inf__loss_cit_gain_cit.csv
disaggregated,sales_employees,average,etr_average_corrected,inf,etr_average_corrected,loss_cit_gain_etr,cit,etr_average_corrected,1582,1582,7,2724300.6137768743,764907.4259717343,222670.56422181914,542236.8617499154,2441406.672304441,22.2100180154787,-18456.25262205793,143571.4966242881,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\country_estimates__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\misalignment__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv,C:\Users\aliso\OneDrive\المستندات\github\sotj_profit_shifting_estimates\output\us_multinationals\tables\disaggregated\aggregate_results__sales_employees__etrdef_average__etrmax_inf__loss_cit_gain_etr.csv
