year,sample_name,formula_name,etr_name,rate_mode,n_countries,total_shifted_musd,total_tax_loss_musd,total_tax_gain_musd,total_revenue_gain_from_ut_musd,total_current_tax_paid_cash_musd,revenue_gain_from_ut_pct_of_current_tax_paid
2016,disaggregated,ccctb,average,loss_cit_gain_cit,226,313012.9487377209,115666.78317154585,59883.7610971479,55783.02207439793,262653.8835363273,21.238224740234102
2017,disaggregated,ccctb,average,loss_cit_gain_cit,226,425512.4460600438,153829.9171144397,79907.02281637926,73922.89429806048,322277.8007568122,22.93763148577584
2018,disaggregated,ccctb,average,loss_cit_gain_cit,226,253847.79170938645,65639.82199147873,44507.06386720013,21132.758124278604,261200.56660557532,8.0906249166718
2019,disaggregated,ccctb,average,loss_cit_gain_cit,226,330943.27779841435,85827.06040691103,58933.01796813403,26894.042438777004,328586.7126665174,8.184762621875025
2020,disaggregated,ccctb,average,loss_cit_gain_cit,226,475745.8581936324,115148.37040887216,72537.38649054321,42610.98391832893,309946.0534237217,13.747871104548702
2021,disaggregated,ccctb,average,loss_cit_gain_cit,226,372497.6924264917,87004.77336426816,42238.21322830024,44766.56013596791,441799.1069365538,10.132786470842
2022,disaggregated,ccctb,average,loss_cit_gain_cit,226,405554.8134502809,99318.11382488876,65664.0312348406,33654.08259004817,514942.5483789336,6.535502396528119
2016,disaggregated,ccctb,average,loss_cit_gain_etr,226,313012.9487377209,115666.78317154585,25996.68986827156,89670.09330327428,262653.8835363273,34.14002187821149
2017,disaggregated,ccctb,average,loss_cit_gain_etr,226,425512.4460600438,153829.9171144397,35547.570356491415,118282.34675794833,322277.8007568122,36.70198396544324
2018,disaggregated,ccctb,average,loss_cit_gain_etr,226,253847.79170938645,65639.82199147873,21133.15705529493,44506.664936183806,261200.56660557532,17.0392681434688
2019,disaggregated,ccctb,average,loss_cit_gain_etr,226,330943.27779841435,85827.06040691103,26858.14930876073,58968.91109815029,328586.7126665174,17.946225098273473
2020,disaggregated,ccctb,average,loss_cit_gain_etr,226,475745.8581936324,115148.37040887216,33972.4914833341,81175.87892553804,309946.0534237217,26.19032506749293
2021,disaggregated,ccctb,average,loss_cit_gain_etr,226,372497.6924264917,87004.77336426816,22681.827468545314,64322.94589572282,441799.1069365538,14.55932003614488
2022,disaggregated,ccctb,average,loss_cit_gain_etr,226,405554.8134502809,99318.11382488876,37353.490476257866,61964.62334863092,514942.5483789336,12.033308093048213
2016,disaggregated,ccctb,average,loss_etr_gain_etr,226,313012.9487377209,114368.8602638538,25996.68986827156,88372.17039558227,262653.8835363273,33.64586474250995
2017,disaggregated,ccctb,average,loss_etr_gain_etr,226,425512.4460600438,158840.6213182867,35547.570356491415,123293.05096179528,322277.8007568122,38.25676192162893
2018,disaggregated,ccctb,average,loss_etr_gain_etr,226,253847.79170938645,75161.34672083097,21133.15705529493,54028.18966553605,261200.56660557532,20.68456066832391
2019,disaggregated,ccctb,average,loss_etr_gain_etr,226,330943.27779841435,68622.7765989437,26858.14930876073,41764.62729018297,328586.7126665174,12.710382276647286
2020,disaggregated,ccctb,average,loss_etr_gain_etr,226,475745.8581936324,85570.48947721916,33972.4914833341,51597.99799388507,309946.0534237217,16.64741248482566
2021,disaggregated,ccctb,average,loss_etr_gain_etr,226,372497.6924264917,47861.05769635228,22681.827468545314,25179.23022780697,441799.1069365538,5.699248783547887
2022,disaggregated,ccctb,average,loss_etr_gain_etr,226,405554.8134502809,65142.90385849109,37353.490476257866,27789.41338223323,514942.5483789336,5.396604625062694
