iso_parent,shifted_bn,taxloss_bn,share_pct,imputed_frac
USA,310.5016379809581,74.79914692402885,29.482151438619137,0.0
BEL,125.15314124153153,36.4192753607343,11.883299189964347,0.12345020846283952
CHE,72.14685883626241,17.00997288269718,6.850349105603782,0.0
CHN,64.10595256009866,14.46818380153903,6.086864513125913,0.3071595369220795
SWE,49.370102611821096,11.406248305881984,4.687694568075478,1.0
DNK,45.046656206635845,11.438089148647832,4.27718304071844,0.00024766330380223144
DEU,38.35587043128353,8.941080791046614,3.641892480723414,0.0
FRA,37.474982220824515,9.233413358502421,3.558252085812391,0.05111829665962218
NLD,33.547805249409386,7.634011286477723,3.185366367880626,0.9297075391481088
LUX,30.79562252161126,8.375001767112806,2.9240464325163167,0.0004946879508896288
HKG,28.957729658232136,7.510059879218505,2.7495383813561367,1.2573684636631518e-07
GBR,28.147903784022414,6.26837589599335,2.6726453600580418,1.0
JPN,24.412677298475273,6.499306895671264,2.3179853536873334,0.011630109944697601
CAN,20.03460165754243,4.369141587748946,1.9022867767167757,0.8887393367540026
ITA,17.21866550525196,4.411989280969107,1.634913449403116,0.0
CYM,13.489986355919205,3.362004037989192,1.2808751130469276,0.0
SGP,13.229896128888363,3.095357849910248,1.2561795284732373,0.6577596273431237
AUT,13.029401901287178,2.931115718938482,1.2371425880591918,1.0
FIN,11.812341843218274,2.6387223277552048,1.1215826535763902,1.0
BRA,10.644057231172203,2.668418259087408,1.0106539509784898,0.016791152037909127
ZAF,10.575618854188738,2.618457431902314,1.0041557224745759,0.24942442891986225
BMU,10.035994326213249,2.607940457131155,0.9529183371995185,0.006189196291358501
IRL,6.143677742410832,1.4042795139190194,0.5833426154194324,1.0
PRT,5.862469508586617,1.271769131591361,0.5566418746784109,0.00025705398231935285
AUS,3.946449876406873,0.9559163165543733,0.37471568155876367,0.007789696241507962
NOR,3.6180272634575674,0.80840020001843,0.34353193233991985,0.13454993220876407
KOR,3.520431316336698,0.8218411871654145,0.3342651905876931,1.0
MEX,3.002459473958181,0.7373612025763395,0.28508372926837955,0.0019212880327686263
ESP,2.827616681339214,0.6912521417246543,0.26848239433352294,0.0008841292781471233
GRC,2.424583001627041,0.41452152970914546,0.23021431930047948,0.36817339721021325
ROU,1.719829882046669,0.3885163803962569,0.16329796313110556,0.0004328272870977092
MUS,1.6202820059066745,0.3561902755434355,0.1538458855870502,1.0
PER,1.6161448753005736,0.4272868468926966,0.15345306475736464,9.059380667293177e-12
IDN,1.0131579678769909,0.25787352765875526,0.09619941728624597,0.0032145371323574158
IMN,0.9816874442298058,0.22216725218243064,0.09321128894640174,1.0
ARE,0.9601226856885913,0.18679259072919902,0.09116371367052402,0.014441209345239707
LTU,0.6437274285271427,0.1287978497761258,0.061121962693781264,0.057713699106309996
CZE,0.6102068488400627,0.1396403500035973,0.05793918139487746,1.0
MYS,0.6051029456286064,0.1439526235220415,0.05745456544120112,0.45989556527480396
TUR,0.6041612725490936,0.1253893332574919,0.057365153518879566,0.12037937866572845
HUN,0.5960944505266265,0.13697917676899202,0.05659920822454476,1.0
CHL,0.47887839336400395,0.10742954407013636,0.04546953570243651,0.8574292380039324
SAU,0.4725909297946579,0.1192393134804049,0.04487254061306559,0.003373791490396849
IND,0.38434411622559167,0.09451494297877357,0.036493499721247956,0.01222288186471282
COL,0.28379601275073985,0.06535126430806915,0.026946450524382454,1.0
BGR,0.25679065176230287,0.0510650361558094,0.024382289679715664,0.2839466514677736
POL,0.23017674418948264,0.053617687319283486,0.02185529736322612,0.8815186538970755
LVA,0.2194868907321539,0.04927309383913945,0.020840295057489685,0.600137649495467
SVN,0.11934290622371993,0.022224540561261955,0.011331616983703026,0.12331375714183894
NZL,0.11460533570302296,0.02575726503172794,0.010881784343686836,1.0
ARG,0.09511223935791815,0.023776847385753374,0.009030913532856467,0.000507436391927385
AZE,0.08784904541974113,0.01716541700364446,0.008341272779249469,2.6016324491011994e-10
PAN,0.019799883330098737,0.004949970832390775,0.001880000255717686,1.8420485667422495e-10
BHR,0.018557516168556016,0.004283067684292509,0.0017620374100556088,0.930163845688493
MAR,7.252048603204374e-05,1.6263598248122905e-05,6.8858250330070616e-06,1.0
MAC,0.0,0.0,0.0,0.0
TUN,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,0.0
