iso_parent,shifted_bn,taxloss_bn,share_pct
USA,340.1791132896122,82.10728705451227,20.08201518776632
CHN,150.46481162401957,33.33438683601406,8.882487237496802
BEL,131.9368056301109,38.21615204812029,7.7887113905007865
CHE,103.27215344294244,24.118305087063195,6.096532305758801
JPN,92.84375011155711,25.395961337387973,5.4809055788270395
DEU,71.50952274600988,16.23014631083344,4.221468237624286
GBR,68.33173821397564,15.256896201669003,4.033872013333378
FRA,64.43817291173843,15.968215431314388,3.8040206365749234
NOR,54.1153176389939,12.126889258873517,3.1946247969429913
HKG,51.04240740342094,13.055869546060304,3.01321968531028
SWE,50.10944294032264,11.571276408882092,2.9581433864264164
DNK,47.05142894667066,11.959296218417064,2.77761765434645
NLD,45.11141772486705,10.224479571529724,2.66309170816489
BRA,43.95335226175988,11.057736951669504,2.5947268753165353
LUX,42.746940596382885,11.56688111703514,2.523507989616832
CYM,34.08105925706079,8.525283707949493,2.011929371550744
KOR,33.10152152859017,7.703381376743483,1.9541036827542946
ITA,32.76179493312656,8.309128316712505,1.9340483813461211
CAN,29.144452873903774,6.36485787141381,1.720503471224574
SAU,21.646306243330663,5.49076150414754,1.2778604968833678
MEX,16.26541065824969,3.9188519325627973,0.9602065826896871
BMU,15.509576927651246,3.9710157547321216,0.9155869577205855
ZAF,15.159314019866757,3.8506535923613696,0.8949096593238115
SGP,14.736406899386571,3.4558610523746243,0.8699439077984753
AUT,14.47866388750703,3.2521294678464536,0.8547283966841908
FIN,13.357314599137828,2.976683410853116,0.7885310536960876
ESP,12.598690965782122,3.058258453660101,0.7437467305801717
IND,9.527536119424706,2.37772298378885,0.5624452459824837
PER,9.116833083521756,2.4157264206703664,0.5381999461317459
AUS,8.472508437330447,1.996046138160838,0.5001631095795555
IRL,8.220202915213504,1.850817631146704,0.4852685933404114
PRT,7.684420347528061,1.6664915093450683,0.4536393920130527
MYS,7.060302480597855,1.7262830854117426,0.41679543542369485
ROU,6.675556260588124,1.5309489186575815,0.3940824611938715
ARE,4.1576066411393295,0.7001670183360151,0.2454387011145981
GRC,3.9961672748986374,0.78158871106718,0.23590834584558182
TUR,3.893138490222761,0.8166277581091884,0.2298261804867798
IDN,2.736217876206456,0.7297396113767639,0.1615289322605618
POL,2.0368807808325418,0.48049215718099614,0.12024450996062226
CZE,1.807096648565116,0.4146642779789218,0.10667951359891573
MUS,1.6651011548885333,0.36619781615028096,0.09829700112473029
IMN,1.1231797308951854,0.25454806871665525,0.06630540069409126
HUN,0.9035871202680141,0.20849928281236202,0.053342047068139026
NZL,0.8399247888817175,0.18964993861994367,0.049583827189719286
CHL,0.8298162293790491,0.18540076615167267,0.04898708201187469
COL,0.8076218966644079,0.18597552346958487,0.047676869511325576
LTU,0.6486335117552504,0.12977638948398507,0.038291204619824916
ARG,0.46603876040162556,0.11650573088210378,0.02751196972080244
BGR,0.2950691148529778,0.05836274293736291,0.017419007265368196
AZE,0.27336588944117574,0.05749271211334401,0.01613778662213526
LVA,0.23450342506921812,0.052191687902419556,0.01384359344782578
SVN,0.2215111098647985,0.04226663354089448,0.013076609641158985
MAR,0.19191607306955838,0.04326242416293384,0.011329506555795444
BHR,0.049625538362279814,0.01148012572043032,0.0029295767322549938
MAC,0.047742868215703976,0.010605038127262378,0.0028184358391193753
PAN,0.020095974702156353,0.005023993675404874,0.0011863387651260453
TUN,0.0,0.0,0.0
UKR,0.0,0.0,0.0
